Year,Total_Cost_USD,NPV_Cost_USD,Energy_Cost_USD,PM_Asset_USD,PM_Modules_USD,CM_USD,Repl_Chassis_CapEx_USD,Repl_Modules_CapEx_USD,Units_Replaced,PM_Total_USD,Repl_Total_CapEx_USD,Run_ID
2029,308995931.00344545,234811512.1764739,118748987.54587643,107962647.33599347,2062500.0,2371500.0,76090296.12157553,1760000.0,1376,110025147.33599347,77850296.12157553,5
2030,317368149.9752744,231897798.56653363,122235148.19868965,116067273.23093633,2079600.0,2298300.0,73247828.54564841,1440000.0,1363,118146873.23093633,74687828.54564841,5
2031,290409400.99158585,204037793.02408192,115317928.49161774,95640295.18103556,2098600.0,2224700.0,73367877.31893256,1760000.0,1348,97738895.18103556,75127877.31893256,5
2032,299010117.14716434,202000521.26102877,118513617.15325946,105492535.69825207,2098600.0,2196100.0,69749264.2956528,960000.0,1332,107591135.69825207,70709264.2956528,5
2033,304554661.86288977,197832900.96483198,117202324.30889253,104771404.40428627,2098600.0,2333200.0,77029133.14971095,1120000.0,1345,106870004.40428627,78149133.14971095,5
2034,297881410.34060335,186055850.0234896,117812332.03989778,108821994.04648294,2115700.0,2094500.0,66076884.25422261,960000.0,1331,110937694.04648294,67036884.25422261,5
2035,302258527.97222817,181528639.21333396,115615842.95424548,101915495.87640603,2115700.0,2393200.0,79418289.14157665,800000.0,1379,104031195.87640603,80218289.14157665,5
2036,298840117.135353,172572721.39321613,117763140.28388396,101689608.30075364,2153700.0,2256700.0,73696968.5507154,1280000.0,1339,103843308.30075364,74976968.5507154,5
2037,310638971.39437854,172486793.9746628,117626495.38033137,113314674.12652107,2153700.0,2258900.0,74005201.8875261,1280000.0,1310,115468374.12652107,75285201.8875261,5
2038,301727620.84965307,161094843.60186744,117370781.5069254,107646531.17320257,2153700.0,2266600.0,71010008.16952509,1280000.0,1327,109800231.17320257,72290008.16952509,5
2039,297573588.97685295,152766319.2528076,115777862.67017426,96865223.31105068,2153700.0,2414700.0,78922102.99562801,1440000.0,1352,99018923.31105068,80362102.99562801,5
2022,298514055.84716225,298514055.84716225,117847710.48865327,107457562.14383473,1981300.0,2070900.0,67236583.21467425,1920000.0,1219,109438862.14383473,69156583.21467425,6
2023,296086578.94063556,284698633.5967649,118191164.88489136,105812211.36874267,1989400.0,2177500.0,67116302.68700151,800000.0,1281,107801611.36874267,67916302.68700151,6
2024,295056392.2725308,272796220.6661712,116950151.91229343,102868824.8333978,1989400.0,2102500.0,70025515.52683952,1120000.0,1333,104858224.8333978,71145515.52683952,6
2025,304425089.36469185,270632795.9332789,118538505.63969016,107972909.57687452,1998400.0,2251800.0,72223474.14812717,1440000.0,1363,109971309.57687452,73663474.14812717,6
2026,301311178.46296006,257562058.1542439,115914148.60558914,103734260.41031095,1998400.0,2509800.0,75394569.44705999,1760000.0,1420,105732660.41031095,77154569.44705999,6
2027,306771273.4915023,252143625.25775227,117931366.56795363,110856394.17529605,2007400.0,2150500.0,72545612.74825263,1280000.0,1349,112863794.17529605,73825612.74825263,6
2028,303092510.2874669,239538413.52019867,117001313.93151104,107055788.34751803,2007400.0,2345900.0,72282108.00843777,2400000.0,1383,109063188.34751803,74682108.00843777,6
2029,302774854.31849444,230084005.1862836,118271168.28429015,109153793.48459442,2016400.0,2204700.0,70488792.54960988,640000.0,1323,111170193.48459442,71128792.54960988,6
2030,285815440.91953963,208842543.11823085,113608939.14063074,92185016.73428814,2052500.0,2274700.0,73934285.04462078,1760000.0,1349,94237516.73428814,75694285.04462078,6
2031,300591854.2184238,211191849.5969101,115465747.06390679,105502619.30895488,2061500.0,2246300.0,73395687.8455621,1920000.0,1353,107564119.30895488,75315687.8455621,6
2032,323774553.11881834,218730486.8646589,123386441.35527919,120141182.50349762,2061500.0,2377300.0,74368129.26004153,1440000.0,1405,122202682.50349762,75808129.26004153,6
2033,293946446.8950538,190942006.80380172,115500688.40189692,99473516.78251524,2070500.0,2224700.0,73877041.71064165,800000.0,1347,101544016.78251524,74677041.71064165,6
2034,316721848.44715893,197823532.07764006,119435548.339289,114596736.08521207,2079500.0,2357300.0,76652764.0226579,1600000.0,1335,116676236.08521207,78252764.0226579,6
